Variable,Type,Description
ID,Nominal,Unique Identifier for the entrepreneur
Province,Nominal,"Zone 5 Province Code (1=Guayas, 2=Los Rios, 3=Bolivar, 4=Santa Elena)"
Gender,Categorical,"1=Male, 2=Female"
Age_Group,Categorical,"1=18-25, 2=26-40, 3=41-55, 4=>55"
Education,Categorical,"1=Primary, 2=Secondary, 3=University/Tech"
Tenure,Categorical,"1=1-3 years, 2=3-5 years, 3=>5 years"
Sector,Categorical,"1=Services, 2=Commerce, 3=Manufacturing"
Job_Performance,Continuous,Score (1-5): Operational execution (Execution Risk)
Personal_Aptitudes,Continuous,Score (1-5): Relational skills (Relational Risk)
Professional_Aptitudes,Continuous,Score (1-5): Strategic planning (Strategic Risk)
Productive_Development,Continuous,Score (1-5): Outcome variable (Efficiency/Growth)
